Date,Calib.Date,Time,Tank,Treatment,Temperature.C,pH.MV,Sal.ppt
20160712,20160708,17:18,13,ATHC,28.6,-55.7,34
20160712,20160708,17:18,14,ATAC,28.18,-65.5,33.8
20160712,20160708,17:19,15,ATAC,26.36,-68,34
20160712,20160708,17:17,16,ATHC,28.79,-55.4,34.1
20160713,20160708,9:47,6,HTAC,30.14,-65.6,34.5
20160713,20160708,9:41,9,HTAC,30.15,-66.5,34.6
20160713,20160708,9:38,11,ATAC,26.88,-59.8,33.8
20160713,20160708,9:40,12,ATHC,26.83,-50.2,33.9
20160713,20160708,9:35,13,ATHC,27.12,-49.1,33.8
20160713,20160708,9:27,14,ATAC,26.86,-59.2,33.9
20160713,20160708,9:25,15,ATAC,26.78,-57.8,33.8
20160713,20160708,9:31,16,ATHC,27.12,-44.5,33.8
20160714,20160708,13:20,4,HTAC,27.43,-67.5,33.9
20160714,20160708,13:24,6,HTAC,28.38,-66.7,34.2
20160714,20160708,13:14,9,HTAC,28.76,-68.1,34
20160714,20160708,11:05,11,ATAC,27.53,-55.1,34
20160714,20160708,11:00,12,ATHC,27.36,-61.7,34.1
20160714,20160708,10:58,13,ATHC,27.37,-53.4,33.8
20160714,20160708,11:07,14,ATAC,27.4,-62.9,33.8
20160714,20160708,11:08,15,ATAC,27.32,-62.8,33.8
20160714,20160708,11:15,16,ATHC,27.57,-55.3,33.9
