Date,Calib.Date,Time,Tank,Treatment,Temperature.C,pH.MV,Sal.ppt
20160615,20160610,9:36,5,Ambient,26.36,-63.5,33.7
20160616,20160610,11:19,5,Ambient,26.52,-66.6,33.9
20160617,20160616,10:48,5,Ambient,25.68,-62.5,33.8
20160620,20160616,8:01,5,Ambient,25.58,-59.5,33.9
20160621,20160621,9:01,5,Ambient,26.03,62.6,33.6
20160622,20160621,11:30,5,Ambient,26.68,-64.5,33.8
20160623,20160621,15:38,5,Ambient,27.3,-68.5,33.6
20160624,20160624,11:27,5,Ambient,26.82,-66.8,33.8
20160627,20160624,9:59,5,Ambient,26.14,-62.5,33.7
20160628,20160628,11:15,5,Ambient,26.18,-64,33.7
20160629,20160628,8:54,5,Ambient,26.7,-60.4,33.7
20160630,20160628,13:45,4,HTAC,29.79,-69.1,34
20160630,20160628,13:48,6,HTAC,29.89,-70.7,34.1
20160630,20160628,13:56,9,HTAC,29.78,-75.1,34
20160630,20160628,11:20,11,ATAC,27.28,-65.8,33.8
20160630,20160628,11:22,12,ATHC,27.5,-53,33.8
20160630,20160628,11:28,13,ATHC,27.9,-45,33.4
20160630,20160628,11:30,14,ATAC,27.48,-65.4,33.6
20160630,20160628,11:32,15,ATAC,27.37,-65,33.6
20160630,20160628,11:40,16,ATHC,27.91,-53,33.8
20160701,20160701,9:59,4,HTAC,28.92,-66.6,34.6
20160701,20160701,9:58,6,HTAC,28.31,-63.8,34.3
20160701,20160701,10:07,9,HTAC,28.69,-69.1,34.3
20160701,20160701,10:03,11,ATAC,26.53,-65.5,34
20160701,20160701,10:05,12,ATHC,26.79,-51.2,34
20160701,20160701,10:09,13,ATHC,26.99,-44.7,33.9
20160701,20160701,10:11,14,ATAC,26.68,-62.5,33.9
20160701,20160701,10:13,15,ATAC,26.52,-62,33.9
20160701,20160701,10:16,16,ATHC,26.96,-53,34
20160705,20160701,15:14,4,HTAC,29.5,-70.5,34
20160705,20160701,15:19,6,HTAC,28.05,-71,34
20160705,20160701,15:25,9,HTAC,28.51,-70,34.2
20160705,20160701,11:39,11,ATAC,26.95,-63.2,33.7
20160705,20160701,11:37,12,ATHC,26.7,-52.3,33.9
20160705,20160701,11:55,13,ATHC,27.07,-46.7,33.8
20160705,20160701,11:57,14,ATAC,26.56,-64,33.6
20160705,20160701,11:59,15,ATAC,26.47,-63.4,33.6
20160705,20160701,12:13,16,ATHC,27,-55.2,33.7
20160706,20160705,11:52,4,HTAC,30.45,-69.3,34.2
20160706,20160705,12:00,6,HTAC,29.26,-70.5,34.1
20160706,20160705,12:03,9,HTAC,28.92,-71.2,34.1
20160706,20160705,12:06,11,ATAC,27.18,-66.5,33.6
20160706,20160705,12:05,12,ATHC,27.15,-51.8,33.5
20160706,20160705,12:10,13,ATHC,27.7,-47.5,33.8
20160706,20160705,12:12,14,ATAC,27.23,-65.6,33.8
20160706,20160705,12:14,15,ATAC,27.4,-64.8,33.7
20160706,20160705,12:17,16,ATHC,27.8,-51,33.7
20160707,20160705,10:44,4,HTAC,29.69,-67.5,34.4
20160707,20160705,10:47,6,HTAC,28.27,-67.3,34.2
20160707,20160705,10:51,9,HTAC,27.05,-66.8,34.1
20160707,20160705,10:54,11,ATAC,26.54,-62.8,33.8
20160707,20160705,10:53,12,ATHC,26.48,-52.3,33.9
20160707,20160705,10:57,13,ATHC,27.02,-53.7,34.1
20160707,20160705,10:59,14,ATAC,26.59,-61.9,33.9
20160707,20160705,11:00,15,ATAC,26.68,-61.2,34
20160707,20160705,11:04,16,ATHC,27.18,-51.2,33.9
20160708,20160708,11:09,4,HTAC,28.12,-68.3,34.2
20160708,20160708,11:13,6,HTAC,27.58,-69.1,33.8
20160708,20160708,11:06,9,HTAC,28.27,-70.3,34.2
20160708,20160708,10:31,11,ATAC,26.34,-65.8,33.8
20160708,20160708,10:32,12,ATHC,26.36,-52.4,33.8
20160708,20160708,10:38,13,ATHC,27.03,-54.1,33.5
20160708,20160708,10:41,14,ATAC,26.46,-64.3,33.6
20160708,20160708,10:46,15,ATAC,26.58,-65.5,33.8
20160708,20160708,10:56,16,ATHC,27.05,-49.2,33.9
20160711,20160708,12:09,4,HTAC,29.88,-70.8,34.4
20160711,20160708,12:15,6,HTAC,29.31,-69,34.3
20160711,20160708,12:24,9,HTAC,26.49,-61,33.9
20160711,20160708,9:42,11,ATAC,26.52,-62.5,33.9
20160711,20160708,9:44,12,ATHC,26.61,-52.7,33.9
20160711,20160708,9:25,13,ATHC,26.84,-49.7,33.8
20160711,20160708,9:28,14,ATAC,26.44,-60.9,33.7
20160711,20160708,9:32,15,ATAC,26.35,-61.7,33.8
20160711,20160708,9:38,16,ATHC,26.83,-47.9,34
20160712,20160708,17:15,4,HTAC,30.49,-82.4,34.7
20160712,20160708,17:16,6,HTAC,28.56,-72.8,34.9
20160712,20160708,17:12,9,HTAC,30.16,-73.3,34.4
20160712,20160708,17:13,11,ATAC,28.19,-68.4,33.8
20160712,20160708,17:11,12,ATHC,28.21,-53.3,33.9
