,4806,6383,,,,,,,,Time1,Time2
Date.Time,Tank4,Tank6,Tank9,Tank11,Tank14,Tank15,Tank12,Tank13,Tank16,T1h,T6h
6/30/16 6:30,0,87,94,,,,,,,T1h,T6h
6/30/16 6:45,0,159,168,,,,,,,T1h,T6h
6/30/16 7:00,0,195,219,,,,,,,T1h,T6h
6/30/16 7:15,10,231,248,,,,,,,T1h,T6h
6/30/16 7:30,557,581,653,,,,,,,T1h,T6h
6/30/16 7:45,484,717,769,,,,,,,,T6h
6/30/16 8:00,223,618,677,,,,,,,,T6h
6/30/16 8:15,99,665,742,,,,,,,,T6h
6/30/16 8:30,365,841,937,,,,,,,,T6h
6/30/16 8:45,1411,1286,1372,,,,,,,,T6h
6/30/16 9:00,815,1008,1112,,,,,,,,T6h
6/30/16 9:15,624,1009,1159,,,,,,,,T6h
6/30/16 9:30,2480,1791,2077,,,,,,,,T6h
6/30/16 9:45,759,1062,1163,,,,,,,,T6h
6/30/16 10:00,3814,2428,2728,,,,,,,,T6h
6/30/16 10:15,5690,3394,3614,,,,,,,,T6h
6/30/16 10:30,6014,3566,4088,,,,,,,,T6h
6/30/16 10:45,3740,2508,2875,,,,,,,,T6h
6/30/16 11:00,5341,3312,3787,,,,,,,,T6h
6/30/16 11:15,8521,4648,5559,,,,,,,,T6h
6/30/16 11:30,6266,3700,4292,,,,,,,,T6h
6/30/16 11:45,4438,2952,3379,,,,,,,,T6h
6/30/16 12:00,3682,2582,2871,,,,,,,,T6h
6/30/16 12:15,3168,2374,2585,,,,,,,,T6h
6/30/16 12:30,3487,2467,2701,,,,,,,,T6h
