Date,Calib.Date,Time,Tank,Treatment,Temperature.C,pH.mv,pH.Total.Calculated,Conductivity.mS.cm,Sal.ppt,Notes,Initials,,,,,,,,,,,,,,,,,,
20160614,20160610,14:36,2,,26.74,-65.4,,NA,33.9,,EV,,,,,,,,,,,,,,,,,,
20160614,20160610,14:32,3,,26.81,-65.1,,NA,33.8,,EV,,,,,,,,,,,,,,,,,,
20160614,20160610,14:38,5,Ambient,26.98,-67.8,,NA,33.8,,EV,,,,,,,,,,,,,,,,,,
20160614,20160610,14:34,6,High,27.16,-69.1,,NA,33.9,,EV,,,,,,,,,,,,,,,,,,
20160614,20160610,14:14,7,,27.08,-72.3,,NA,33.6,,EV,,,,,,,,,,,,,,,,,,
20160614,20160610,14:16,8,Ambient,27.24,-69.5,,NA,33.9,,EV,,,,,,,,,,,,,,,,,,
20160614,20160610,14:17,9,High,28.63,-65.9,,NA,34.1,,EV,,,,,,,,,,,,,,,,,,
20160614,20160610,14:22,10,Ambient,27.17,-68.8,,NA,33.8,,EV,,,,,,,,,,,,,,,,,,
20160614,20160610,14:21,11,Ambient,26.99,-69.1,,NA,33.7,,EV,,,,,,,,,,,,,,,,,,
20160614,20160610,14:19,12,High,26.95,-55.9,,NA,33.6,,EV,,,,,,,,,,,,,,,,,,
20160614,20160610,14:24,13,High,27.24,-58.7,,NA,33.8,,EV,,,,,,,,,,,,,,,,,,
20160614,20160610,14:31,14,Ambient,27.25,-62.8,,NA,33.8,,EV,,,,,,,,,,,,,,,,,,
20160614,20160610,14:29,15,Ambient,27.07,-67.6,,NA,33.7,,EV,,,,,,,,,,,,,,,,,,
20160614,20160610,14:26,16,High,27.23,-56.5,,NA,33.8,,EV,,,,,,,,,,,,,,,,,,
20160614,20160610,14:27,17,High,27.22,-54.5,,NA,33.8,,EV,,,,,,,,,,,,,,,,,,
20160614,20160610,14:28,18,Ambient,27.13,-69.3,,NA,33.8,,EV,,,,,,,,,,,,,,,,,,
20160615,20160610,9:29,2,,26.01,-62.8,,NA,33.9,,GD,,,,,,,,,,,,,,,,,,
20160615,20160610,9:33,3,,26.04,-62.5,,NA,33.9,,GD,,,,,,,,,,,,,,,,,,
20160615,20160610,9:36,5,Ambient,26.36,-63.5,,NA,33.7,,GD,,,,,,,,,,,,,,,,,,
20160615,20160610,9:34,6,High,27.64,-65.8,,NA,34.3,,GD,,,,,,,,,,,,,,,,,,
20160615,20160610,9:45,8,Ambient,26.4,-62.5,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
20160615,20160610,9:43,9,High,27.83,-63.9,,NA,34.2,,GD,,,,,,,,,,,,,,,,,,
20160615,20160610,9:37,10,Ambient,26.14,-62.4,,NA,33.6,,GD,,,,,,,,,,,,,,,,,,
20160615,20160610,9:38,11,Ambient,26.23,-63.9,,NA,33.7,,GD,,,,,,,,,,,,,,,,,,
20160615,20160610,9:42,12,High,26.51,-53.5,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
20160615,20160610,9:55,13,High,26.79,-55.4,,NA,33.9,,GD,,,,,,,,,,,,,,,,,,
20160615,20160610,9:54,14,Ambient,26.3,-61.2,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
20160615,20160610,9:53,15,Ambient,26.54,-64,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
20160615,20160610,9:48,16,High,26.7,-49.9,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
20160615,20160610,9:49,17,High,26.48,-49.2,,NA,33.7,,GD,,,,,,,,,,,,,,,,,,
20160615,20160610,9:51,18,Ambient,26.65,-65.2,,NA,33.7,,GD,,,,,,,,,,,,,,,,,,
20160616,20160610,11:18,4,,27.72,-69.2,,NA,34.1,,"GD, EV",,,,,,,,,,,,,,,,,,
20160616,20160610,11:19,5,Ambient,26.52,-66.6,,NA,33.9,,"GD, EV",,,,,,,,,,,,,,,,,,
20160616,20160610,11:22,6,High,28.9,-71.3,,NA,34.4,,"GD, EV",,,,,,,,,,,,,,,,,,
20160616,20160610,11:25,8,Ambient,26.69,-68,,NA,33.9,,"GD, EV",,,,,,,,,,,,,,,,,,
20160616,20160610,11:26,9,High,28.32,-66.5,,NA,34.1,,"GD, EV",,,,,,,,,,,,,,,,,,
20160616,20160610,11:39,10,Ambient,26.76,-67.6,,NA,33.8,,"GD, EV",,,,,,,,,,,,,,,,,,
20160616,20160610,11:36,11,Ambient,26.65,-68.3,,NA,33.8,,"GD, EV",,,,,,,,,,,,,,,,,,
20160616,20160610,11:33,12,High,26.72,-57.1,,NA,33.8,,"GD, EV",,,,,,,,,,,,,,,,,,
20160616,20160610,11:41,13,High,27.13,-55.6,,NA,33.8,,"GD, EV",,,,,,,,,,,,,,,,,,
20160616,20160610,11:45,14,Ambient,26.7,-67.6,,NA,33.8,,"GD, EV",,,,,,,,,,,,,,,,,,
20160616,20160610,11:47,15,Ambient,26.93,-67.5,,NA,33.8,,"GD, EV",,,,,,,,,,,,,,,,,,
20160616,20160610,11:53,16,High,27.1,-42.6,,NA,33.8,,"GD, EV",,,,,,,,,,,,,,,,,,
20160616,20160610,11:50,17,High,27.01,-52.3,,NA,33.8,,"GD, EV",,,,,,,,,,,,,,,,,,
20160616,20160610,11:48,18,Ambient,26.8,-71,,NA,33.8,,"GD, EV",,,,,,,,,,,,,,,,,,
20160617,20160616,10:42,4,,28.37,-66.8,,NA,34.5,,GD,,,,,,,,,,,,,,,,,,
20160617,20160616,10:48,5,Ambient,25.68,-62.5,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
20160617,20160616,10:50,6,High,27.57,-65.1,,NA,34.2,,GD,,,,,,,,,,,,,,,,,,
20160617,20160616,10:25,8,Ambient,25.84,-61.7,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
20160617,20160616,10:23,9,High,27.21,-64.1,,NA,34,,GD,,,,,,,,,,,,,,,,,,
20160617,20160616,10:29,10,Ambient,25.88,-63.7,,NA,33.9,,GD,,,,,,,,,,,,,,,,,,
20160617,20160616,10:28,11,Ambient,25.83,-63.9,,NA,33.9,,GD,,,,,,,,,,,,,,,,,,
20160617,20160616,10:21,12,High,25.7,-56.4,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
20160617,20160616,10:32,13,High,26.28,-54.7,,NA,33.9,,GD,,,,,,,,,,,,,,,,,,
20160617,20160616,10:33,14,Ambient,25.96,-62.8,,NA,33.7,,GD,,,,,,,,,,,,,,,,,,
20160617,20160616,10:35,15,Ambient,25.89,-62.9,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
20160617,20160616,10:39,16,High,25.94,-40.3,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
20160617,20160616,10:38,17,High,25.75,-50.7,,NA,33.7,,GD,,,,,,,,,,,,,,,,,,
20160617,20160616,10:36,18,Ambient,25.85,-64.3,,NA,33.7,,GD,,,,,,,,,,,,,,,,,,
20160620,20160616,7:30,10,Ambient,25.59,-59.8,,NA,33.9,,JD,,,,,,,,,,,,,,,,,,
20160620,20160616,7:33,11,Ambient,25.36,-61,,NA,33.9,,JD,,,,,,,,,,,,,,,,,,
20160620,20160616,7:35,12,High,25.56,-50.9,,NA,33.9,,JD,,,,,,,,,,,,,,,,,,
20160620,20160616,7:43,13,High,25.89,-49,,NA,33.9,,JD,,,,,,,,,,,,,,,,,,
20160620,20160616,7:45,14,Ambient,25.64,-59.5,,NA,33.9,,JD,,,,,,,,,,,,,,,,,,
20160620,20160616,7:47,15,Ambient,25.72,-60.5,,NA,33.9,,JD,,,,,,,,,,,,,,,,,,
20160620,20160616,7:50,16,High,25.69,-35.3,,NA,33.9,,JD,,,,,,,,,,,,,,,,,,
20160620,20160616,7:52,17,High,25.51,-44.6,,NA,33.9,,JD,,,,,,,,,,,,,,,,,,
20160620,20160616,7:57,18,Ambient,25.37,-59.5,,NA,33.8,,JD,,,,,,,,,,,,,,,,,,
20160620,20160616,8:01,5,,25.58,-59.5,,NA,33.9,,JD,,,,,,,,,,,,,,,,,,
20160620,20160616,8:03,6,,28.05,-63.5,,NA,34.2,,JD,,,,,,,,,,,,,,,,,,
20160620,20160616,8:05,4,,28.44,-67.5,,NA,34.4,,JD,,,,,,,,,,,,,,,,,,
20160620,20160616,8:07,8,,25.86,-58.7,,NA,33.9,,JD,,,,,,,,,,,,,,,,,,
20160620,20160616,8:09,9,,28.39,-64.3,,NA,34.3,,JD,,,,,,,,,,,,,,,,,,
20160621,20160621,8:59,4,,27.33,-63.9,,NA,33.9,,EV,,,,,,,,,,,,,,,,,,
20160621,20160621,9:01,5,,26.03,62.6,,NA,33.6,,EV,,,,,,,,,,,,,,,,,,
20160621,20160621,9:02,6,,27.38,64,,NA,33.9,,EV,,,,,,,,,,,,,,,,,,
20160621,20160621,9:04,8,,26.23,61.2,,NA,33.5,,EV,,,,,,,,,,,,,,,,,,
20160621,20160621,9:05,9,,27.44,63.3,,NA,33.9,,EV,,,,,,,,,,,,,,,,,,
20160621,20160621,9:08,10,Ambient,25.98,-61.3,,NA,33.6,,EV,,,,,,,,,,,,,,,,,,
20160621,20160621,9:07,11,Ambient,25.58,-62.3,,NA,33.5,,EV,,,,,,,,,,,,,,,,,,
20160621,20160621,9:06,12,High,25.7,-51.4,,NA,33.4,,EV,,,,,,,,,,,,,,,,,,
20160621,20160621,9:10,13,High,26.28,-49.2,,NA,33.4,,EV,,,,,,,,,,,,,,,,,,
20160621,20160621,9:12,14,Ambient,26.19,-61.6,,NA,33.4,,EV,,,,,,,,,,,,,,,,,,
20160621,20160621,9:13,15,Ambient,26.02,-61.3,,NA,33.5,,EV,,,,,,,,,,,,,,,,,,
20160621,20160621,9:17,16,High,26.7,-38.2,,NA,33.5,,EV,,,,,,,,,,,,,,,,,,
20160621,20160621,9:15,17,High,26.05,-48.2,,NA,33.6,,EV,,,,,,,,,,,,,,,,,,
20160621,20160621,9:14,18,Ambient,25.87,-61.7,,NA,33.5,,EV,,,,,,,,,,,,,,,,,,
20160622,20160621,11:30,4,,27.3,-63.2,,NA,34,,GD,,,,,,,,,,,,,,,,,,
20160622,20160621,11:30,5,,26.68,-64.5,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
