,,,,,,,,,,Time1,Time2
Date.Time,Tank4,Tank6,Tank9,Tank11,Tank14,Tank15,Tank12,Tank13,Tank16,T1h,T6h
6/30/16 6:30,,,,7.92,8.03,7.92,7.65,7.63,7.64,T1h,T6h
6/30/16 6:45,,,,7.92,8.03,7.92,7.65,7.65,7.64,T1h,T6h
6/30/16 7:00,,,,7.92,8.03,7.92,7.65,7.66,7.64,T1h,T6h
6/30/16 7:15,,,,7.92,8.03,7.92,7.65,7.64,7.65,T1h,T6h
6/30/16 7:30,,,,7.93,8.03,7.92,7.66,7.63,7.63,T1h,T6h
6/30/16 7:45,,,,7.93,8.04,7.92,7.65,7.66,7.65,,T6h
6/30/16 8:00,,,,7.94,8.04,7.93,7.66,7.66,7.64,,T6h
6/30/16 8:15,,,,7.94,8.06,7.93,7.67,7.64,7.64,,T6h
6/30/16 8:30,,,,7.94,8.06,7.93,7.67,7.68,7.66,,T6h
6/30/16 8:45,,,,7.94,8.07,7.93,7.67,7.67,7.67,,T6h
6/30/16 9:00,,,,7.95,8.07,7.95,7.69,7.69,7.69,,T6h
6/30/16 9:15,,,,7.96,8.08,7.96,7.7,7.7,7.66,,T6h
6/30/16 9:30,,,,7.96,8.09,7.96,7.7,7.68,7.69,,T6h
6/30/16 9:45,,,,7.98,8.1,7.98,7.71,7.72,7.71,,T6h
6/30/16 10:00,,,,7.98,8.11,7.98,7.73,7.71,7.7,,T6h
6/30/16 10:15,,,,7.99,8.11,7.98,7.71,7.71,7.69,,T6h
6/30/16 10:30,,,,8,8.13,7.99,7.74,7.74,7.7,,T6h
6/30/16 10:45,,,,8.01,8.15,8.01,7.75,7.73,7.73,,T6h
6/30/16 11:00,,,,8.03,8.16,8.03,7.75,7.75,7.72,,T6h
6/30/16 11:15,,,,8.04,8.18,8.04,7.77,7.76,7.76,,T6h
6/30/16 11:30,,,,8.05,8.19,8.05,7.77,7.77,7.77,,T6h
6/30/16 11:45,,,,8.06,8.2,8.06,7.75,7.76,7.75,,T6h
6/30/16 12:00,,,,8.07,8.22,8.09,7.8,7.79,7.77,,T6h
6/30/16 12:15,,,,8.07,8.23,8.09,7.78,7.78,7.77,,T6h
6/30/16 12:30,,,,8.08,8.24,8.11,7.79,7.79,7.77,,T6h
