mVTris,TTris
-75.3,22.5
-74.6,23
-74,23.5
-73.3,24
-72.6,24.5
-72,25
-71.2,25.5
-70.6,26
-69.9,26.5
-69.3,27
-68.3,27.5
-67.6,28
-67,28.5
-66.2,29
