mVTris,TTris
-74.1,23.11
-73.5,23.55
-72.7,24.06
-72.1,24.52
-71.3,25.09
-70.7,25.5
-70,26.01
-69,26.89
-68.5,27
-67.7,27.56
-67,28.11
-66.3,28.51
-65.6,29.02
