mVTris,TTris
-75.3,22.98
-74.5,23.53
-74,24
-73,24.5
-72.3,24.98
-71.6,25.51
-70.9,26
-70.2,26.51
-69.5,27.02
-68.8,27.49
-68,27.98
-67.2,28.48
-66.4,29.02
