"","T1.Temp.Mean","T1.Temp.SEM","T6.Temp.Mean","T6.Temp.SEM"
"ATAC",26.87,0.01,27.14,0.06
"ATHC",26.93,0.01,27.33,0.08
"HTAC",28.67,0.01,29.05,0.08
