"","T1.pH.Mean","T1.pH.SEM","T6.pH.Mean","T6.pH.SEM"
"ATAC",7.922,0.002,7.981,0.011
"ATHC",7.652,0.002,7.709,0.01
"HTAC",NA,NA,NA,NA
